"mturk_id","trial_type","stim_type","train_type","dimension","irrelevant","relevant"
1,"XAB","HD","CONTROL","shape-relevant",0.341088903671249,0.107323593740353
2,"XAB","LD","TRAIN","shape-relevant",-0.322502943874522,0.151336332886102
3,"Similarity","LD","CONTROL","shape-relevant",-1.15725012378987,-0.750094740532741
4,"Similarity","LD","CONTROL","shape-relevant",-0.778375912389292,-0.975012405389985
5,"XAB","LD","TRAIN","shape-relevant",-0.532640362264016,0.0902669851048417
6,"XAB","HD","TRAIN","shape-relevant",0.189370254766554,0.271363673313179
7,"Similarity","HD","CONTROL","shape-relevant",-1.09574157557293,0.465007814822772
8,"Same-Different","LD","CONTROL","shape-relevant",-0.702090810658089,-0.0670859826849956
9,"Same-Different","HD","CONTROL","shape-relevant",0.465033646122179,0.788211974630206
10,"XAB","LD","TRAIN","shape-relevant",-0.187799470547923,-0.103609799718799
11,"Same-Different","HD","TRAIN","shape-relevant",-0.171063381417432,0.392147528383265
12,"XAB","LD","CONTROL","shape-relevant",-0.153037283882994,0.212752744476077
13,"XAB","HD","CONTROL","shape-relevant",-0.0523262630880293,0.471919003695517
14,"Same-Different","HD","TRAIN","shape-relevant",-0.846916473178268,0.14213683183759
15,"Same-Different","HD","CONTROL","shape-relevant",-0.00210010847722289,0.358659312124845
16,"XAB","HD","CONTROL","shape-relevant",0.319583612315599,0.265881827616062
17,"Similarity","HD","TRAIN","shape-relevant",-0.0811406021769617,0.764158668422654
18,"Same-Different","HD","TRAIN","shape-relevant",-0.412439485617731,0.140868814779877
19,"XAB","LD","TRAIN","shape-relevant",-0.294105995443509,0.227856961431296
20,"Similarity","LD","TRAIN","shape-relevant",0.278905847472963,0.157941231886287
21,"XAB","LD","TRAIN","shape-relevant",-0.122372069217861,0.146952990825412
22,"Similarity","LD","TRAIN","shape-relevant",0.0281884174417076,0.516219270857118
23,"Same-Different","LD","TRAIN","shape-relevant",0.395781147156173,0.290494827589968
24,"XAB","LD","TRAIN","shape-relevant",-0.51108780653176,0.261212107207407
25,"Similarity","HD","CONTROL","shape-relevant",0.343088560964513,0.839555073462403
26,"Similarity","LD","CONTROL","shape-relevant",0.0418743126772413,0.592279703140264
27,"XAB","HD","TRAIN","shape-relevant",0.144469096991021,0.427987836087957
28,"XAB","HD","CONTROL","shape-relevant",-0.226985935515661,0.465512375086081
29,"XAB","HD","CONTROL","shape-relevant",0.367948573690959,0.283662686095173
30,"Same-Different","HD","CONTROL","shape-relevant",0.0368914160474407,0.504789710343404
31,"Similarity","LD","CONTROL","shape-relevant",0.645523888565832,0.6192644322463
32,"Similarity","HD","TRAIN","shape-relevant",-0.405709763103567,0.66617128995122
33,"Similarity","LD","TRAIN","shape-relevant",-1.08296469745706,0.123297445608381
34,"Similarity","LD","CONTROL","shape-relevant",0.00557349690045352,0.304503432335672
35,"XAB","HD","TRAIN","shape-relevant",-0.0101365111333817,0.192539748256591
36,"XAB","HD","CONTROL","shape-relevant",-0.295562249209202,0.427987836087957
37,"Same-Different","LD","TRAIN","shape-relevant",-0.71610619735359,0.0475949717993091
38,"XAB","LD","TRAIN","shape-relevant",-0.123724304857433,0.364484770091132
39,"XAB","LD","CONTROL","shape-relevant",-0.211904302616893,-0.0359519187979388
40,"Similarity","LD","TRAIN","shape-relevant",0.286328402967309,0.763064818139276
41,"Similarity","HD","TRAIN","shape-relevant",-0.227847928408061,0.667703511383301
42,"XAB","HD","TRAIN","shape-relevant",-0.0359519187979388,0.151336332886102
43,"Similarity","HD","TRAIN","shape-relevant",-0.471660122945776,0.483202059466664
44,"Same-Different","HD","CONTROL","shape-relevant",0.166863164462986,0.195828296967022
45,"Similarity","LD","CONTROL","shape-relevant",-0.515774851397492,-0.0285742651511349
46,"Same-Different","HD","CONTROL","shape-relevant",-0.653815589818029,0.215138385303046
47,"Same-Different","HD","TRAIN","shape-relevant",-0.846916473178268,0.465033646122179
48,"XAB","LD","TRAIN","shape-relevant",-0.0800366918866438,0.0277260867746351
49,"Same-Different","LD","TRAIN","shape-relevant",-0.846916473178268,-0.238648690593516
50,"Similarity","HD","CONTROL","shape-relevant",-0.123865453299201,0.228746107021434
51,"Similarity","HD","CONTROL","shape-relevant",-1.0205188383677,-0.101039699936888
52,"XAB","HD","TRAIN","shape-relevant",0.0277260867746351,0.0977718929044665
53,"Similarity","HD","CONTROL","shape-relevant",0.245071223800794,0.876901562746571
54,"Same-Different","HD","TRAIN","shape-relevant",-0.846916473178268,0.673752983283613
55,"Similarity","HD","CONTROL","shape-relevant",-0.253036302939204,0.208760527713526
56,"XAB","LD","TRAIN","shape-relevant",-0.137087574707321,0.256447086382248
57,"Similarity","HD","CONTROL","shape-relevant",0.095124630732123,0.802794285978926
58,"Same-Different","HD","CONTROL","shape-relevant",-0.711745854826101,-0.0358927630652647
59,"Same-Different","HD","TRAIN","shape-relevant",-0.171063381417432,-0.00622116391478904
60,"Similarity","LD","CONTROL","shape-relevant",-0.392567749762177,0.244888305693206
61,"Similarity","LD","TRAIN","shape-relevant",-0.495805982126912,0.56978703501709
62,"Similarity","LD","TRAIN","shape-relevant",-0.5797803323753,0.250322497806138
63,"Similarity","LD","TRAIN","shape-relevant",-0.33990088426623,0.567677792883827
64,"Same-Different","LD","CONTROL","shape-relevant",-0.637168961942147,-0.227384472397502
65,"Similarity","LD","CONTROL","shape-relevant",0.121527913434335,0.419602708720315
66,"XAB","HD","TRAIN","shape-relevant",-0.198892697763055,0.151336332886102
67,"Similarity","HD","TRAIN","shape-relevant",0.298178447703898,0.451936647914489
68,"Same-Different","LD","CONTROL","shape-relevant",-0.762434836708164,-0.253484490168754
69,"Same-Different","HD","TRAIN","shape-relevant",-0.846916473178268,0.14213683183759
70,"Same-Different","HD","TRAIN","shape-relevant",-0.48485231687782,0.540360925699238
71,"Same-Different","LD","TRAIN","shape-relevant",-0.846916473178268,0.268241128227112
72,"Same-Different","LD","TRAIN","shape-relevant",-0.546537321284563,0.816721906540713
73,"XAB","HD","TRAIN","shape-relevant",-0.00729681629028045,-0.780494753184958
74,"XAB","HD","CONTROL","shape-relevant",0.189370254766554,0.362727768265133
75,"XAB","HD","CONTROL","shape-relevant",-0.205759933658136,0.0398029499004682
76,"XAB","LD","CONTROL","shape-relevant",-0.614360469415486,0.122018518103254
77,"XAB","LD","TRAIN","shape-relevant",-0.82019682953385,0.393874618816936
78,"Similarity","HD","TRAIN","shape-relevant",0.308205408634857,0.558727508258366
79,"Similarity","LD","CONTROL","shape-relevant",-0.452164465981275,0.451531967824449
80,"Same-Different","LD","TRAIN","shape-relevant",-0.0865817449473275,0.331897058962725
81,"Similarity","HD","TRAIN","shape-relevant",-0.627147747299472,0.427379604363687
82,"Similarity","LD","CONTROL","shape-relevant",0.283719507176496,0.718890095156729
83,"Similarity","HD","TRAIN","shape-relevant",-0.598171090063662,0.731409453877901
84,"Same-Different","LD","CONTROL","shape-relevant",-0.612967326030286,0.413458211456805
85,"Same-Different","HD","CONTROL","shape-relevant",-0.846916473178268,0.0747013792228721
86,"XAB","LD","CONTROL","shape-relevant",-0.543700226389779,0.421733746254937
87,"XAB","HD","TRAIN","shape-relevant",-0.151460859138887,0.190623310332383
88,"Similarity","LD","TRAIN","shape-relevant",-0.73160346193279,-0.173703476869359
89,"XAB","HD","TRAIN","shape-relevant",0.110132917515613,0.110132917515613
90,"XAB","HD","TRAIN","shape-relevant",0.0277260867746351,0.0977718929044665
91,"Similarity","HD","CONTROL","shape-relevant",-0.223009040258257,0.548438133749324
92,"Similarity","LD","TRAIN","shape-relevant",-0.150808936054484,0.656201075915708
93,"XAB","HD","TRAIN","shape-relevant",-0.481697957805957,-0.215289975308453
94,"XAB","HD","CONTROL","shape-relevant",-0.0752824516515874,0.0420211492501109
95,"Similarity","HD","CONTROL","shape-relevant",0.288583269779535,0.430550184895216
96,"Same-Different","HD","TRAIN","shape-relevant",-0.570431117457926,0.107229068131148
97,"Same-Different","HD","TRAIN","shape-relevant",-0.846916473178268,0.919022250454885
98,"Same-Different","LD","CONTROL","shape-relevant",-0.217673939469903,0.230224391815565
99,"XAB","HD","TRAIN","shape-relevant",-0.0973557098857781,-0.282091901876542
100,"XAB","HD","CONTROL","shape-relevant",-0.112365525485028,0.133455605461173
101,"Same-Different","LD","CONTROL","shape-relevant",-0.633489181043267,-0.570431117457926
102,"Similarity","LD","TRAIN","shape-relevant",-0.819512162362458,-0.175823341759626
103,"Same-Different","HD","CONTROL","shape-relevant",-0.0535237132851126,0.868710605906931
104,"Same-Different","HD","CONTROL","shape-relevant",-0.846916473178268,0.110542073482916
105,"Similarity","LD","CONTROL","shape-relevant",-0.0520455465353454,-0.35329496936881
106,"Same-Different","HD","CONTROL","shape-relevant",0.166863164462986,0.400812311610968
107,"Same-Different","LD","TRAIN","shape-relevant",0.226497260794825,0.0787084133637466
108,"Similarity","LD","TRAIN","shape-relevant",-0.567539997293411,0.24426171387785
109,"Same-Different","LD","TRAIN","shape-relevant",-0.684711731155668,0.735568814847104
110,"Same-Different","LD","TRAIN","shape-relevant",-0.396347745337711,-0.127459956142539
111,"Similarity","HD","CONTROL","shape-relevant",-0.733472505834359,0.688739093755943
112,"Same-Different","HD","TRAIN","shape-relevant",0.279505346423126,0.381907330023252
113,"Same-Different","HD","CONTROL","shape-relevant",-0.846916473178268,0.381907330023252
114,"XAB","LD","CONTROL","shape-relevant",-0.4976174591991,-0.160858775882603
115,"XAB","HD","CONTROL","shape-relevant",-0.392548750004353,-0.00272861154268278
116,"Similarity","HD","TRAIN","shape-relevant",0.234370514506885,0.444817797287095
117,"XAB","LD","TRAIN","shape-relevant",-0.392548750004353,0.162429560101234
118,"Similarity","HD","CONTROL","shape-relevant",-0.0431433536832977,0.231790678932882
119,"XAB","HD","CONTROL","shape-relevant",-0.163307929943087,0.480963655850015
120,"Similarity","HD","CONTROL","shape-relevant",-1.10203884593647,-0.477214004945516
121,"XAB","LD","CONTROL","shape-relevant",-0.220823547879605,0.334176488592647
122,"XAB","HD","CONTROL","shape-relevant",-0.0800366918866438,0.281083257882536
123,"Similarity","LD","CONTROL","shape-relevant",-0.650317856576022,0.459279526854373
124,"Similarity","HD","TRAIN","shape-relevant",0.569036613111625,0.358542778156945
125,"XAB","HD","CONTROL","shape-relevant",-0.288609811876216,0.151336332886102
126,"Similarity","HD","TRAIN","shape-relevant",-1.03141543122893,0.0433187728353627
127,"Same-Different","LD","TRAIN","shape-relevant",-0.846916473178268,-0.289337672475578
128,"Similarity","LD","CONTROL","shape-relevant",-0.241454358762267,0.478547377409739
129,"XAB","HD","CONTROL","shape-relevant",0.218760103492357,0.283662686095173
130,"XAB","LD","CONTROL","shape-relevant",-0.295562249209202,0.0938070359537213
131,"XAB","HD","TRAIN","shape-relevant",-0.0800366918866438,0.0595650895609221
132,"XAB","LD","CONTROL","shape-relevant",0.15030624750184,0.0849063366765384
133,"XAB","LD","TRAIN","shape-relevant",-0.736409980096253,0.0429534359332942
134,"Similarity","HD","TRAIN","shape-relevant",-0.828487344174785,0.0771695161794073
135,"XAB","LD","TRAIN","shape-relevant",-0.358733533252021,0.222297770468611
136,"Same-Different","LD","CONTROL","shape-relevant",-0.279199876099166,0.470997055755362
137,"Similarity","LD","TRAIN","shape-relevant",-0.933873349971141,0.317097241913255
138,"Same-Different","HD","TRAIN","shape-relevant",-0.779331164002185,-0.0120391245325294
139,"XAB","LD","TRAIN","shape-relevant",-0.232444050279024,-0.166017632307877
140,"Similarity","HD","TRAIN","shape-relevant",-1.04413211432632,-0.112411731129054
141,"XAB","LD","CONTROL","shape-relevant",-0.153037283882994,0.0152179071085938
142,"Same-Different","LD","CONTROL","shape-relevant",-0.668014184182753,-0.171063381417432
143,"XAB","HD","CONTROL","shape-relevant",-0.377802264503336,0.23374316362708
144,"XAB","LD","TRAIN","shape-relevant",-0.388170887121239,-0.104435811583537
145,"Same-Different","LD","TRAIN","shape-relevant",-0.567253124863439,0.524667742454017
146,"XAB","LD","CONTROL","shape-relevant",-0.245623400561292,0.0277260867746351
147,"Similarity","HD","CONTROL","shape-relevant",-0.869087913251494,0.128188200962821
148,"XAB","LD","CONTROL","shape-relevant",-0.123724304857433,0.191663079844453
149,"XAB","LD","TRAIN","shape-relevant",-0.217434234679775,-0.120447733884624
150,"Similarity","HD","TRAIN","shape-relevant",-1.19553488370808,-0.0111381046511451
151,"XAB","LD","CONTROL","shape-relevant",-0.561295464771674,0.202840602099214
152,"Similarity","HD","CONTROL","shape-relevant",-0.547385184049713,0.252601352563174
153,"XAB","HD","CONTROL","shape-relevant",0.103451282590669,0.364484770091132
154,"Similarity","HD","CONTROL","shape-relevant",-0.196658585252528,0.567176323514045
155,"Similarity","LD","TRAIN","shape-relevant",-0.880749079936147,0.197207652315218
156,"Same-Different","LD","CONTROL","shape-relevant",-0.765814102166968,0.385521517679727
157,"Similarity","LD","CONTROL","shape-relevant",-0.780611578148703,-0.739491089826531
158,"Same-Different","HD","CONTROL","shape-relevant",-0.171063381417432,0.481484431317169
159,"Similarity","LD","TRAIN","shape-relevant",-0.365776912475156,0.217542048608772
160,"Similarity","HD","CONTROL","shape-relevant",0.0552648487376638,0.0348010213162281
161,"Similarity","HD","TRAIN","shape-relevant",-1.26055820610884,0.259777320734267
162,"Similarity","LD","CONTROL","shape-relevant",-0.838210457804806,-0.410636535924633
163,"Similarity","HD","TRAIN","shape-relevant",-0.643390717791518,0.332779834218896
164,"Same-Different","HD","CONTROL","shape-relevant",-0.478269332217812,0.833061212055811
165,"Same-Different","HD","TRAIN","shape-relevant",-0.612967326030286,0.647074571766738
166,"Same-Different","LD","TRAIN","shape-relevant",0.481484431317169,0.448468619363334
167,"Same-Different","LD","CONTROL","shape-relevant",-0.593471563767955,0.110542073482916
168,"Similarity","LD","TRAIN","shape-relevant",-0.531585124400929,0.886831952054752
169,"Same-Different","LD","CONTROL","shape-relevant",-0.497337287784732,-0.22305208078365
170,"Similarity","LD","CONTROL","shape-relevant",-0.467516750660255,0.751344993674519
171,"Similarity","HD","TRAIN","shape-relevant",-0.683823180571364,0.369076151256134
172,"Same-Different","HD","CONTROL","shape-relevant",-0.846916473178268,0.140868814779877
173,"XAB","HD","TRAIN","shape-relevant",0.0277260867746351,0.0666404235134305
174,"Similarity","LD","CONTROL","shape-relevant",-0.492804687318979,0.445097554392818
175,"Similarity","LD","CONTROL","shape-relevant",-0.0425356590814214,0.751032465022125
176,"Similarity","HD","CONTROL","shape-relevant",-0.00290660504391144,0.620008548085332
177,"Similarity","HD","CONTROL","shape-relevant",-0.639328588099831,0.169802963057527
178,"Similarity","LD","TRAIN","shape-relevant",-0.599930206016462,0.208454127073925
179,"Same-Different","LD","TRAIN","shape-relevant",-0.765814102166968,0.577854909452684
180,"Same-Different","HD","CONTROL","shape-relevant",-0.66259290269804,0.335826437403195
181,"Same-Different","HD","TRAIN","shape-relevant",-0.0358927630652647,0.581591198043499
182,"Same-Different","LD","TRAIN","shape-relevant",-0.71610619735359,0.197583759543024
183,"Same-Different","HD","TRAIN","shape-relevant",-0.310209606191722,0.934878041463936
184,"Same-Different","LD","CONTROL","shape-relevant",-0.171063381417432,0.48547962200738
185,"Similarity","HD","TRAIN","shape-relevant",-0.960525158522889,0.724945793112489
186,"Similarity","LD","CONTROL","shape-relevant",-0.973422506722285,-0.734349925847763
187,"XAB","LD","CONTROL","shape-relevant",0.113147801567112,0.266906888193572
188,"XAB","LD","CONTROL","shape-relevant",-0.70690066044067,-0.395806694475508
189,"XAB","HD","TRAIN","shape-relevant",0.0277260867746351,0.550101590115751
190,"Same-Different","LD","CONTROL","shape-relevant",-0.416828142057736,0.230224391815565
191,"Same-Different","HD","TRAIN","shape-relevant",-0.684711731155668,0.927197892693927
192,"XAB","LD","CONTROL","shape-relevant",-0.4976174591991,-0.280475460196623
193,"XAB","HD","CONTROL","shape-relevant",0.21703907631472,0.0928849761977342
194,"XAB","HD","TRAIN","shape-relevant",-0.25245713774469,0.299332273808675
195,"XAB","LD","TRAIN","shape-relevant",-0.232444050279024,0.151336332886102
196,"XAB","HD","CONTROL","shape-relevant",-0.198892697763055,0.144469096991021
197,"XAB","LD","TRAIN","shape-relevant",-0.380874448982715,0.0689295021451242
198,"Similarity","HD","CONTROL","shape-relevant",-0.0909556473596578,0.332614475143555
199,"Similarity","LD","TRAIN","shape-relevant",-0.268153715141478,-0.00417828156927868
200,"Similarity","HD","CONTROL","shape-relevant",-0.740067779601781,0.166683679595768
201,"Similarity","HD","TRAIN","shape-relevant",-1.08522044009688,-0.0824814509114241
202,"XAB","LD","TRAIN","shape-relevant",-0.322502943874522,0.0849063366765384
203,"Same-Different","HD","CONTROL","shape-relevant",0.264970871331495,0.470997055755362
204,"XAB","HD","CONTROL","shape-relevant",0.127791524102966,0.384322917981049
205,"Similarity","HD","CONTROL","shape-relevant",-0.0250045905666863,0.3947343677798
206,"XAB","HD","TRAIN","shape-relevant",-0.322502943874522,0.448000923553624
207,"XAB","LD","TRAIN","shape-relevant",-0.322502943874522,0.362727768265133
208,"Similarity","LD","TRAIN","shape-relevant",-0.204309026222578,0.434150114873722
209,"Similarity","HD","TRAIN","shape-relevant",-1.04325837830888,0.199596878955074
210,"Similarity","LD","TRAIN","shape-relevant",-0.435852663509858,0.0889201326230111
211,"XAB","LD","CONTROL","shape-relevant",-0.256835000627805,0.315414219093586
212,"Similarity","HD","TRAIN","shape-relevant",-0.815118062933506,0.5386852728311
213,"XAB","HD","CONTROL","shape-relevant",0.268508545345931,0.307909311293961
214,"XAB","LD","CONTROL","shape-relevant",-0.519506773614672,0.122018518103254
215,"Same-Different","LD","TRAIN","shape-relevant",-0.530110336415376,0.543409887015452
216,"Same-Different","HD","CONTROL","shape-relevant",-0.287589776548611,0.556778409709622
217,"XAB","LD","TRAIN","shape-relevant",-0.721039427027011,0.0541584664462696
218,"XAB","LD","CONTROL","shape-relevant",-0.375037298471895,0.0145098969388179
219,"XAB","HD","TRAIN","shape-relevant",-0.322502943874522,0.396388224300063
220,"XAB","HD","CONTROL","shape-relevant",-0.137087574707321,0.410995592013335
221,"XAB","LD","CONTROL","shape-relevant",-0.194370371685806,-0.121307543288836
222,"Same-Different","LD","CONTROL","shape-relevant",0.118587943622926,0.189391600855014
223,"Similarity","LD","TRAIN","shape-relevant",-1.06055518860896,0.707070101252102
224,"Similarity","LD","CONTROL","shape-relevant",-0.754920550606464,0.0698966494338396
225,"Same-Different","LD","CONTROL","shape-relevant",-0.777000636099561,-0.0358927630652647
226,"Same-Different","HD","CONTROL","shape-relevant",-0.0865817449473275,0.284744517677085
227,"Similarity","HD","TRAIN","shape-relevant",-0.942386675269316,0.611417392489233
228,"XAB","HD","CONTROL","shape-relevant",0.0277260867746351,0.480963655850015
229,"Similarity","LD","TRAIN","shape-relevant",-0.936830610337876,0.325187096676178
230,"Same-Different","LD","CONTROL","shape-relevant",-0.762434836708164,0.520507224105284
231,"Similarity","HD","TRAIN","shape-relevant",-0.936454418441476,0.228059839795093
232,"XAB","HD","CONTROL","shape-relevant",0.175190941784806,0.632667139714088
233,"XAB","HD","TRAIN","shape-relevant",-0.488400905760965,0.40840981574111
234,"XAB","LD","TRAIN","shape-relevant",-0.0852510198863831,0.243251644097193
235,"Similarity","LD","TRAIN","shape-relevant",-0.118174475473521,0.807714921514426
236,"Same-Different","HD","CONTROL","shape-relevant",0.199565733419156,-0.0865817449473275
237,"Same-Different","HD","TRAIN","shape-relevant",-0.711745854826101,-0.0150972833187775
238,"XAB","HD","TRAIN","shape-relevant",0.00357236052296915,0.261212107207407
239,"XAB","HD","CONTROL","shape-relevant",-0.431194712007019,0.460736524668138
240,"Same-Different","LD","TRAIN","shape-relevant",-0.758761722079029,0.00182926996324709
241,"Similarity","LD","TRAIN","shape-relevant",-0.561627293058938,0.418812291012536
242,"XAB","LD","CONTROL","shape-relevant",0.15030624750184,-0.018971117311919
243,"Same-Different","LD","TRAIN","shape-relevant",-0.612967326030286,0.339947492840761
244,"Same-Different","LD","TRAIN","shape-relevant",-0.441404618121766,0.587210819094726
245,"XAB","HD","TRAIN","shape-relevant",0.0816074761052747,0.331698452998432
246,"Same-Different","LD","TRAIN","shape-relevant",-0.846916473178268,0.191589497088383
247,"Similarity","LD","TRAIN","shape-relevant",0.498717666323081,0.498717666323081
248,"XAB","LD","TRAIN","shape-relevant",-0.294105995443509,0.0744232908611894
249,"Same-Different","LD","TRAIN","shape-relevant",-0.50898992729785,0.0926841665867968
250,"Same-Different","LD","CONTROL","shape-relevant",-0.593471563767955,0.537758153843933
251,"Same-Different","HD","CONTROL","shape-relevant",0.207414349968636,0.273576810530487
252,"Same-Different","LD","CONTROL","shape-relevant",-0.321252957364284,0.335826437403195
253,"Similarity","LD","TRAIN","shape-relevant",-0.650317856576022,-0.211609801647897
254,"Similarity","HD","TRAIN","shape-relevant",0.0589677544198585,1.08925383238171
255,"XAB","LD","TRAIN","shape-relevant",-0.352522575073021,-0.0134773285958538
256,"XAB","LD","CONTROL","shape-relevant",-0.139774753970614,0.170676711529393
257,"XAB","HD","CONTROL","shape-relevant",0.319583612315599,0.252401313983528
